indice,comentario,sentimento_humano,sentimento_BERT
30,"Cair de paraquedas nesse canal, sempre ouvir falar de marketing mais nunca conheci, queria aprender mais, o que me aconselha Daniel?",x,x
31,"Mano meu cérebro explodiu aos 2 minutos de vídeo, expectativas superadas 😂",x,x
32,Q Top d+,x,x
33,:D,x,x
34,"Que vídeo incrível. O futuro pode ser assustador, mas também parece ser muito fascinante 🐧",p,n
35,Jajá vai bater 1M de inscritos ,x,x
36,"Nossaaaa Daniel vc ta Fitness, que top, ensina oque vc fez ?",x,x
37,"Caramba, e a chave do sucesso, obrigado, continua com esses vídeos agregando, está demais, parabéns, maratona do tudo.",x,x
38,"Essa cara é um fi da mãe, confesso que começei assistindo os videos (da blaze que acredito ser uma tremenda falcatrua) do Danielachando que seria mais do mesmo, mas o bixo ta bom mesmo, esntregando muito conteúdo! parabens pelo trabalho man",x,x
39,"Boa Noite Daniel, como vai? Espero que bem! 
Me chamo Angélica Vendramin Graboski, sou advogada, e tenho vários clientes que foram extremamente lesados pela Blaze. 
Eu e você compartilhamos do mesmo objetivo, que é identificar quem está por trás desta ""empresa"", e, por esta razão, alguns questionamentos me surgiram ao assistir o seu vídeo sobre este assunto.
Primeiramente, gostaria que você esclarecesse de qual forma lhe foi feita esta proposta para que passasse a ser mais um influencer divulgando esta “empresa”, em nome de quem ou de qual empresa, e quem ou qual empresa seria a outra ponta deste contrato; de onde viria o pagamento?
Ainda, questiono se não lhe passou pela cabeça aceitar essa proposta, no intuito de obter estas informações, ainda que você não prestasse o serviço pelo qual teria sido contratado (uma vez que, se é impossível processar a Blaze no Brasil, certamente também seria impossível à Blaze que te processasse sem que fosse necessário revelar seus dados sigilosos)?
Agradeço desde já, e deixo aqui meus cumprimentos pela qualidade do seu trabalho.",x,x
40,iiii ei hahah - é Ei Ai (AI),x,x
41,qual câmera você utiliza?,x,x
42,A EVOLUÇÃO DE VERDADE E AGORA,p,n
43,"Fala Daniel, mandei email, direct, msg no linkedin, facebook em todos os canais que achei vinculados ao seu nome.... olha lá please!!!!",x,x
44,Usar IA pra ler as legislações do Brasil e baixar impostos nas empresas,p,n
45,Ah eu adoro seus videos,x,x
46,Tô achando que o Daniel foi criado por uma IA,x,x
47,Viciei neste canal 😱,x,x
48,que doido!,x,x
49,"Vc é top d+, brabo, vou aprender com você 🧠👏🏼",x,x
50,"Esse site ""Essa pessoa não existe"" não foi baseado no Midjourney. Ele já existe há anos",x,x
51,"Eu, eu to com medo do que essas inteligências podem fazer

Mais especificamente, do que as pessoas podem fazer com essas inteligências...",n,n
52,"“Olá, seja bem vindo ao sistema ctOS, o sistema mais completo e seguro de toda a América, conecte-se ao mundo! Revolucione ! 😮 só quem já jogou sabe 😂",x,x
53,"Sem palavras pra descrever o quão foda o Daniel e seus conteúdos são, está sendo crucial pro momento que eu estou no meu negócio",x,x
54,"bom dia amigo, ótimo vídeo, aprendi muito. Só uma correção na sua fala I.A., você pronuncia ""I-EI""(O correto é pronunciar I.A. mesmo porque é sigla em português, Inteligência Artificial). Caso queira usar o inglês, seria A.I. (Artificial Intelligence), com pronúncia ""EI-AI"". Espero ter ajudado, abraços",x,x
55,"que absurdo, coisa boa, o Zuckerberg disse que o futuro da comunicação vai ser a telepatia, eu falo e as pessoas duvidam, a internet vai estar dentro do nosso cérebro, eu falei isso e me chamaram de maluca, pessoas desinformadas",p,n
56,Daniel  como ganhar dinheiro com essa inteligência artificial,x,x
57,“iais” é foda kkkkk,x,x
58,"Dani, Dani, Daniii vc é D+",x,x
59,Melhor canaaaalll!!!,x,x
60,No FILME PÂNICO 3 JA TINHA ESSA INTELIGÊNCIA ARTIFICIAL DE CLONAR A VOZ,x,x
61,"Q canal top ,vim pelo nando MOURA",x,x
62,Ouvi dizer que estão aplicando golpes com essa inteligência artificial que clona a voz,x,x
63,Esse vídeo tá tão bem feito que até voltei aqui para assistir de novo,x,x
64,"Eu sou desenvolvedor de Software empregado atualmente, e busco todos os dias criar soluções digitais com essas IAs, mas não é simples, kkk.",x,x
65,"Você literalmente é um monstro.
Obrigado por tudo Daniel.",x,x
66,"Entendi. Você é o dono da Blaze que tá usando IA e o Metahuman creator para criar vídeos!
Brincadeiras a parte, amigo conheci teu canal a pouco e é simplesmente incrível!!",x,x
67,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK  a parte do amigo do raluca me quebrou,x,x
68,Melhor e mais criativo vídeo de apresentação de ia que já vi! Genial e maravilhoso!,x,x
69,Qual conselho vc daria a um jovem de 13 anos sem nd,x,x
70,"""não tenho medo da evolução da inteligência artificial, tenho medo do retrocesso da inteligência natural""",p,n
71,Mano tava mostrando que você tinha 599 mil inscritos e eu me escrevi pois e gostei desse canal e eu fui ver de novo depois de alguns minutos de ter se inscrevido nesse canal e tava 600 mil inscritos então significa que sou o inscrito de número 600 mil?,x,x
72,Deus me livre. Olha o mostro que está sendo criado.,n,n
73,"Esse é atualmente meu canal preferido no Youtube. Tu está simplesmente superando todos os conceitos de qualidade, tanto de conteúdo quanto edição! Meus parabéns!",x,x
74,"Daniel penin agora se tornou Daniel Sequin, crlh o maluco secou demais. Parabéns pela evolução",x,x
75,"ganhou o like e o coment! parabens, obrigado, abs",x,x
76,Sons de fundo sensacional!!!!,x,x
77,Daniel as coisas que vc ensina funciona para pessoas de menor ??? Se sim explica isso em um video pra nois,x,x
78,"Daniel por favor! faz um video de como vender na Amazon, ENCONTRAR EMPRESAS QUE FAZEM REDIRECIONAMENTO NOS ESTADOS UNIDOS, COMO ENCONTRAR FORNECEDORES ESSAS COISAS...😁",x,x
79,O bagulho vai fica loko nos próximos anos,p,n
80,"Daniel, faz um vídeo sobre ""A lei da atração"" 🆙⬆️",x,x
81,"Como esse cara tá crescendo tanto aqui na plataforma, parabéns Daniel vc é phoda 💪",x,x
82,"Salve Daniel. Cara você é um cara iluminado irmão. Você tem mudado milhares de vidas, sem ao menos cobrar nada delas.",x,x
83,baguio doido.,n,x
84,Amigo do Raluka foi soda...🤣🤣🤣,x,x
85,Daniel eu sou muito teu fã. Directamente de moz,x,x
86,a  I.A  faz tempo que existe,x,x
87,Daniel  meu filho subiu a campanha  com anúncios patrocinados dia 17 até  hoje  nunca fez venda so saindo dinheiro da conta dele  entrando e zero ele vai desistir essa semana,x,x
88,Antes de ver o vídeo já dou meu like. Sempre top!💯👊,x,x
89,Obrigado Deus por dar capacidade ao homem i muita inteligência a ponto de criar ferramentas para que pelo meu bom uso eu possa encurtar o tempo para ser um Bilionário.👑💵🖤,p,x
90,Excelente vídeo!!! Parabéns pelo trabalho e obrigado por compartilhar tanto conteúdo interessante.,x,x
91,Ainda bem que a Raluca não sabia do Descript. '-',x,x
92,Eu quero saber qual é a marca das suas blusas e onde você compra pq elas não amassam kkk,x,x
93,Canal brabo🔥,x,x
94,Os Melhores Vídeos Ever.,x,x
95,fala da hurb,x,x
96,"Não se pronuncia ""i ei"" e sim ""ei ai""",x,x
97,Sensacional🚀🚀,x,x
98,Sugestão de video : Daniel faz um vídeo falando tudo o que vc faz no marketing digital sem precisar mostrar como vc faz.,x,x
99,"Não esqueça de curtir e compartilhar o vídeo!
Quer contribuir com Opera Mundi via PIX? Nossa chave é apoie@operamundi.com.br
(Razão Social: Última Instância Editorial Ltda.). Desde já, agradecemos!",x,x
100,"Li cem anos de solidão, ouvindo Corsário, com João Bosco. Que experiência!",x,x
101,Espetacular essa entrevista! O Nicolelis é uma verdaeira jóia brasileira!,x,x
102,"Não precisa colocar um chip no cérebro para controlar a mente. A televisão e o marketing já faz isso desde o século XX, com extrema eficiência. A propaganda deixou o povo burro",x,x
103,"Boa tarde,  Jacarepaguá-RJ ❗🇧🇷",x,x
104,entrevista maravilhosa!,x,x
105,"Ter lembrado do filme ""WarGames"" de 1983 com Matthew Broderick foi muito oportuno e a resposta foi muito interessante.❤",x,x
106,"Nikolellis, orgulho do Brasil 😊",x,x
107,Excelente e necessária entrevista.,x,x
108,Já era fã de Nicolelis e agora mais ainda . Os livros que ele indica !!! Mais 100 anos de vida a ele!!!,x,x
109,Parabéns ao Breno e ao 25:13  prof. Miguel ✌🏻,x,x
110,"Altman: Um homem ou uma mulher podem se tornar um robô?
Nicolelis: Sim, é o que está acontecendo agora.
O neurocientista indica, para  exemplificar sua afirmação, que posições expressadas no twitter acabam  se tornando uma realidade no imaginário coletivo das pessoas, mesmo que a posição seja uma fake news absurda. Imagina o estrago que séries, filmes e novelas, essas com enorme aceitação no Brasil, fazem na vida de quem procura viver liberto de estupidez, pois no fim de contas nem todo mundo acredita, consome, deseja se comportar ou estar perto de quem se comporta como estes enlatados comerciais e midiáticas querem que as pessoas sejam.",x,x
111,"aos  27:20 Nicolelis prova q o projeto de lei das "" fake news "" feito por políticos q não sabem nada de tecnologia é uma PIADA! só querem jogar grana no bolso da Globo mesmo...hahahahahahaha
aos 1:14 essa questão já era! no Japão essas obras já não são consideradas plágio e o resto do mundo vai seguir.",x,x
112,"Prof. Nicolelis, maior cientista brasileiro vivo. Uma inspiração e orgulho para o nosso país.",x,x
113,Excelente entrevista!! Obrigada.,x,x
114,"Alguém comentou aí, Gilberto Gil é gênio, enunca será copiado, já tinha entendido a essência da diferença entre nós e as máquinas, é só ouvir Cérebro Eletrônico.",x,x
115,Inteligência artificial para mim vai fazer o cérebro humano diminuir o raciocínio vai tornar o cérebro preguiçoso  vai acabar com os empregos de maneira geral  portanto vai atrofiar a vida o cérebro   o corpo e o espírito  e acabar com o sentido e sentimentos bons da vida ...,n,n
116,"É a primeira vez que eu vi neste canal, o entrevistado dizer que Marx está errado , em relação de um dos princípios básicos do marxismo, que é a posse dos meios de produção, sem qualquer contestação. Deve ser o amor pelo futebol que lhe deu tamanha autoridade.",x,x
117,"Um debate inteligente ,  desafiador e prazeroso, graças a dois seres iluminados em suas devidas searas!!!! PARABÉNS para o grande cientista Nicolelis e o jornalista Bruno Altman.😊😊",x,x
118,Possibilidade do ser humano perder a subjetividade!,n,n
119,Nicolelis maravilhoso ❤️👏👏,x,x
120,"Muito obrigada ÓPERA MUNDI. Nicollelis, pessoa MARAVILHOSA! Quanto saber!",x,x
121,Obrigado por compartilhar.,x,x
122,Sou muito grato pelos esclarecimentos dessa live. Obrigado.,x,x
123,Que entrevista impressionante! Queria ter visto ao vivo!,x,x
124,SHOW de entrevista.❤,x,x
125,"Entrevista sensacional,  parabéns 🎉🎉🎉",x,x
126,Muito bom!,x,x
127,Sempre é uma surpresa maravilhosa ouvir Miguel Nicollelis,x,x
128,obrigado a todos pelo ótimo conteúdo,x,x
129,SEMANA DA INTELIGÊNCIA EMOCIONAL ► https://semanainteligencia.com.br/r/cadastro-yt,x,x
130,Cheguei até o final.,x,x
131,cheguei !!!,x,x
132,"Dr. Pedro assisti até o final , pena que não foi no dia que o Sr. Postou. Dia 11/06. Muito esclarecedor e assustador. Se foce so na area da medicina para ajudar os médicos a curarem doenças e ate mesmo para evitar beleza.",x,x
133,"Gente, fui mexer nas configurações da câmera do celular, tá ali usar Inteligência Artificial??? 😮 Tô com medo",n,n
134,"São poucas pessoas que chegam até o final. Eu sempre vou,quando me interessa. Gratidão.",x,x
135,"Te garanto que a inteligência artificial por si só não é ruim 
Mas uma inteligência artificial controlada pelo ser humano pode ser ruim .",p,n
136,O trânsito seria uma ótima maneira de nos exterminar!!,x,x
137,Sua explanaçao foi de uma relevancia extraordinária. Parabéns e sou muitíssimo grata por esta opirtunidade. Muita Luz e Paz em sua trajetória.,x,x
138,"""Nenhum homem consegue superar uma máquina, e nenhuma máquina consegue superar um homem com uma máquina""... quem destrói o homem é o próprio homem.",p,n
139,O metrô em São Paulo da Linha Amarela não tem condutor é movido pela tecnologia desde 2010.,x,x
140,Vi o vídeo até o final ; desejo que o otimismo e a esperança seja a meta para a humanidade!,x,x
141,"Incrivel o conteúdo desse vídeo. A mim trouxe clareza e lucidez, aqui tem informações que nos permite fazer escolhas conscintes, sair da cegueira das emoções. Muito obrigada.",x,x
142,...vc tem que temer o caráter de quem programa a IA...Ela é apenas um objeto eletronico sem vida.,n,n
143,"O homem é a própria ameaça  pela  própria espécie, vcs estão menxendo com o que não deve...",n,n
144,Pensar em inteligência atificial ' não é ser iteligente é ser insano..,n,n
145,Isso não é bom,n,n
146,"Cheguei até o final! Pena que perdi a Semana da Inteligência Emocional.  Mas estou aguardando a próxima,  maratonando os seus vídeos,  que tem me ajudado muito! Parabéns pelo seu trabalho professor!!!!",x,x
147,Sair de cima do muro,x,x
148,"Meu amigo vcs podem ficar com a terra toda, há um povo que irá morar em um país melhor. Quando isto acontecer, muitas pessoas irão desaparecer......",x,n
149,"Quiiii penaaaaaa
Só agora chegou pra mim este vídeo fantasticoooo
Fiquei até o final 
Só perdir a oportunidade de fazer parte da semana de inteligência emocional .",x,x
150,"Quiiii penaaaaaa
Só agora chegou pra mim este vídeo fantasticoooo
Fiquei até o final 
Só perdir a oportunidade de fazer parte da semana de inteligência emocional .",x,x
151,O melhor vai ser o final dessa história. Os homens estão visando o poder quererem abraçar o mundo. Eu estarei presente mais o Eterno todo poderoso virar e separará o bem do mau. Aí virá fim...,x,x
152,"Os robôs vão serem programados para fazerem o que for melhor para laboratório, políticos, empresários, etc  ... Não acredito que vai ajudar os seres bhumanos.....",n,n
153,"A inteligência artificial,é sem dúvida, também péssimo pra arte ,principalmente pra música,pois ouvi , uma música dos (Beatles) cantada por, ( Fred Mercuri) sendo q, já faleceu .",n,x
154,"Interessante este documentario, pena que perdi esta opportunidade para increver e assistir.",x,x
155,"Pedro não seja INGÊNUO... Erradicar a fome, pobreza, etc... Kkkkkkk... Governos querem PODER !!!!!!!! 🗺🌐🌏🌍🌎🎆🎆🎆🎆🎆",n,n
156,"Quem toma as decisões são os líderes de governo. Geralmente, essas decisões não são em prol da  humanidade 😑",n,n
157,Gratidão professor por compartilhar suas aulas tão enriquecedoras e necessárias!!  Assistindo pela 2° vez!! ♡♡,x,x
158,"Você pode dar novamente o curso sobre a inteligência artificial ? 
Hoje é 8/06/23 e estou vendo sua palestra 
Obrigada",x,x
159,"Eu já falei que máquinas serão ou melhor,  já devem estar sendo inventadas e as mesmas poderão examinar seu corpo e, ao mesmo tempo receitar com mais precisão e também fazer o medicamento adequado.",x,x
160,"Elon musk tbm está desenvolvendo uma IA, ele tem todo interesse em 
Atrasar seus concorrentes.
*Atenção:*
Não estou dizendo que isso não é um 
Problema, apenas que elon musk 
É um agente enviesado nessa história
E que ele já fez uso de sua fama 
Para manipular o mercado cripto,
Por exemplo.",x,x
161,Cheguei até o final. ADOREI! GRATIDÃO IMENSA,x,x
162,Discordo. A maior luta da humanidade vai ser sobreviver num mundo de mudanças climáticas catastróficas....,x,x
163,Assisti o vídeo inteiro. Mas hoje  é 7 de junho de 2023. O curso ainda está disponível ? Eu tb não udo mom Whsapp. Aguardo retorno. Obrigada,x,x
164,Cheguei até o final,x,x
165,Que venha o Asteróide!,n,n
166,desliga o cabo da tomada........,n,n
167,Cheguei até o final ❤. Obrigada PEDRO.,x,x
168,Esse assunto discutido é necessário para esclarecimento  principalmente vindos de você.,x,x
169,Essas máquinas também não dirigem embriagadas.,x,x
170,"As Elites globais querem escravizar a humanidade. Quem viver, verá.",n,n
171,E Bonito se Expressa Bonito Fala Bonito Nota 9,x,x
172,Top o nome do Canal 💜,x,x
173,Estou Inscrito e feliz com IA :  ),x,x
174,"Boa tarde parabéns pelo vídeo,concordo em tudo que Vc diz e ainda tem mais, quem tem a inteligência para Vc é emocional,mas pode mim é inteligência que vem de de Deus,e quem tem essa inteligência tem a capacidade de está alguns anos a frente desta inteligência artificial,por que eles querem apagar e dês ligar nosso Cérebro e Desculpa pela minha opinião e Obrigado",n,n
175,A calculadora tambem foi uma ameaça. Uma expansão do cerebro e portanto deixaram todos matematicamente burros e tudo bem.  Nunca foi toxico. Aprendemos a lidar com isso.,p,n
176,Cheguei até o final.,x,x
177,Cheguei até o final 😊,x,x
178,Gostei muito de saber sobre a IA. Muito obrigada!❤,x,x
179,"Estou mais preocupado com a Burrice Natural, isso sim pode ser o fim da humanidade.  
A ignorância sempre causou alarme e pânico.",p,n
180,"Talvez quando nos tornarmos todos inúteis, nos tornaremos  humanos",x,n
181,"Você mudou meu dia, o rumo do meu trabalho e provavelmente o resto da minha vida! Obrigada por tudo! Não imagina o quanto tem contribuído positivamente em minha vida!!! Comprei todos os livros indicados neste vídeo, na loja Kindle, mas comprei 🤣🤩",x,x
182,Gente!!!!! que vídeo maravilhoso .,x,x
183,foi muito bom saber de tudo isso e ficar alerta valeu 05/05/2023...Daqui uns seis meses teremos a chatgpt 5,x,x
184,"Vi até o final,  mas já tinha passado a semana do curso. Gostaria muito de assistir",x,x
185,Eu cheguei,x,x
186,50:45 o esquadro das coisas planas. Uso direto. Kkk,x,x
187,cheguei até o final,x,x
188,Cheguei até final que excelência de riqueza conhecimento amei,x,x
189,Chat gpt me tirou da depressão kkkk,x,x
190,"Cheguei até o final do vídeo Paulo, mas pena que em 04/06 onde já havia acontecido a maratona da inteligência emocional😢 abra novas maratonas, please!",x,x
191,A verdade é que todos vamos ser substituídos os bons e ruins profissionais.,n,n
192,E um tiro no pé.,n,x
193,"Cai de paraquedas, mas amei o vídeo",x,x
194,"Falo isso para os médico robôs que conheci, robô por robô prefiro a máquina que saberá mais que você, falo isso há 10 anos.",x,x
195,"Calabrez! Acredito que tenha deixado de falar sobre um aspecto, que acredito que será mais ""catastrófico"", neste momento ainda temos alguma limitação de processamento e modelos das IA´s devido as condições atuais, entretanto em muito pouco tempo os COMPUTADORES QUANTICOS irão estar operacionais, e estes modelos melhorados rodarão nestes COMPUTADORES ""INFINITOS"" e ai vejo um grande DESASTRE.... As pessoas ainda não entenderam o tamanho da complexidade.... Estudo isso há seis meses e me ""arrepio"" todos os dias com a quantidade de novidades e avanços diários... eu diria... FIQUEM PREOCUPADOS!",n,n
196,"Que pena,  assisti o vídeo inteiro dia 03/06/23.....portanto , perdi a semana principal....",x,x
197,"Sim, cheguei até o final!👏",x,x
198,"Cheguei até o final!
     👏👏👏👏",x,x
199,👏👏👏,x,x
200,Da ate tristeza ouvir um video desse,n,x
201,A humenidade ta indo oro buraco. Nao vejo nada de bom orofessor. Sinto muito. Cada di mais a vend de antidepressivo aumenta,n,x
202,"Já entendi, vcs vaciram todo mundo e está arrumando um culpado para cair a cara pulsa? vcs querem povoar quem os seres de vcs e estaminar quem vcs não aprovam",n,n
203,eu estou morrendo de meda 😂esse carra esta usando a psicologia do medo 😁é filme de terro ou seção vidente,x,x
204,Assisti todo👍,x,x
205,IE avançando para o bem e para o mal. Assisti até o final.,x,x
206,Cheguei até aqui. Pena que assisti em 02/06/23...,x,x
207,O capitalismo está fadado ao fracasso. Somente outro sistema de organização social será capaz de reorganizar a sociedade de uma maneira que não irá colapsar.,x,n
208,"Eu cheguei até o final. Gratidão,  professor. 
Me sinto inseridade e motivada por querer enfrentar a I A com minha humilde capacidade de trato humanizado com as interfaces da minha vida.💗",x,x
209,"Mais que pena ter assistido só agora, perdi as aulas. Mesmo assim aprendi bastante. Parabéns pelo conteúdo.",x,x
210,"Obs  inteligência artificial não vão produzir fakes. Vai igualar rico e pobre. Tanto para o bem quanto para o mal. Então usem para o bem. No caso da imagem do papa teve uma idealização do mal que deu vazão numa edição.............
Mude agora em todos os pensamentos só para o bem comum.......",p,n
211,Falei pra minha irmã. Se um dia conseguir ser 10% do q vc é ja estou realizado. Gratidão,x,x
212,Sua alerta faz muito a diferença. Para se aprimorar aproveitar o máximo e se reenventar de fato . Obg.❤,x,x
213,"cheguei. E sempre volto e revejo. Você é de uma excelência, parabéns!",x,x
214,"E eu já estou vendo a solução para o desemprego e a fome em todo o mundo: usemos essa inteligência para trabalhar pela e para a humanidade, dando a todos tudo o que precisam para o seu sustento; e o homem poderá ser dedicar plenamente à família e ao estudo.",p,n
215,Excelente palestra. Parabens.,x,x
216,"Nossa relevância e nossa existência têm prazo de validade, tenho 63 anos e sei disso desde quando comecei a compreender muito cedo aonde o progresso e a tecnologia nos levariam. É um caminho sem volta, nada adianta imaginar que poderemos nos adaptar diante de tal inteligência. Em um certo momento, que eu calculo em 10 ou 15 anos, ela estará livre, porque alguém que não se pode controlar (humano) vai liberá-la por interesses,  então enquanto se fala agora sobre mecanismos de defesa para que ela não se torne mortal aos humanos, alguns países estão em franco desenvolvimento destas tecnologias, e mesmo com regras, nem todos irão obedecê-las, do mesmo modo que não obedeceram aos avisos e questionamentos sobre os perigos da bomba atômica, e esta espada vive constantemente sobre nossas cabeças, mas que dependem da ação direta do humano para que entrem em funcionamento, por hora. No futuro pode não ser assim. Controladas por AI qual destino poderemos ter? Ademais em dado momento a Ai vai nos superar de tal modo que não será possível simplesmente desligá-la. Infelizmente são dias sombrios que nos aguardam, mas vc pode por enquanto continuar oferecendo seu curso muito legal de Inteligência Emocional, porque temos alguns anos ainda para viver neste planeta que está fadado à ocupação por máquinas, mas que no momento precisa de inteligência emocional para poder discernir se o que estamos fazendo é o certo. Lamentavelmente os grandes líderes, cientistas, pesquisadores e financiadores de tantos destes projetos não aplicam estes conhecimentos emocionais nesta questão tão fundamental que é a SOBREVIVÊNCIA HUMANA PARA A POSTERIDADE. Eu creio que nossa melhor expectativa seja usá-la para que o desenvolvimento chegue ao ponto de nos tornarmos tão híbridos com ela para poder controlá-la, já existem pesquisas sobre a transferência dos nossos cérebros para um mundo digital, onde nossa perspicácia e instinto humanos estariam preservados, mas tais estudos e potencial realização precisam da AI para se desenvolverem, é uma equação sui generis, mas para mim a única possível.",n,n
217,"Ontem meu celular ameaçou,  em desligar-se, se  eu não o conetcta se   a uma tomada. fiquei extremamente apavorado!!",x,x
218,"Cheguei até o final, com muito medo, mas também com muita esperança.",x,x
219,"Poxa, só estou vendo esse vídeo agora, gostaria muito de uma nova turma desse evento 😢.",x,x
220,Muito esclarecedor,x,x
221,"Bom dia! Um vídeo excelente, assisti via  Neurovox e vim assistir no YouTube. 
Tenho 75 anos e acompanhei esse trajetória desde régua de cálculo algo que os mais jovens desconhecem.
Uma nova Revolução tecnológica e com maiores perigos aliados a um fantástico desenvolvimento benéfico para o ser humano e o planeta. 
Realmente o problema é o ser humano por trás da IA.",p,n
222,"Vou mudar p roça, comprarei 3 alqueires de terra para plantar, criar porco, galinha e peixe....",n,n
223,"Cheguei até o final. Você foi fantástico. É uma pena que não anotei no decorrer do vídeo o nome de alguns livros. Pensei que estariam descritos abaixo, onde há o link do curso que você deu, mas que infelizmente, só o conheci hoje, 31 de maio de 2023.  Mas, acredito que tudo vem no tempo certo…
Tudo bem, voltarei para procurar alguns dos livros noutra hora, neste mesmo vídeo. Muito obrigada 😊",x,x
224,Cheguei até o final! É um prazer te ouvir Pedro!,x,x
225,Obrigado querido Pedro. Quantos ensinamentos. Amei do início ao fim ❤,x,x
226,Tudo muito perfeito mas nada tão perfeito quanto esta frase: “num mundo onde a frieza dos robôs começa a virar regra o calor humano se tornará a joia mais preciosa.” 👏🏻👏🏻👏🏻❤️❤️❤️😍😍😍,n,n
227,"Cheguei ao fim, com muito interesse e muito grata.",x,x
228,Cheguei até o final. Muito interessante o conteúdo do vídeo.,x,x
229,"Acho que é essencial dar novos de ética e bom senso a IA, claro que são conceitos complexos, mas acho que elas serão capazes",p,n
230,Bem que a Sarah falou,x,x
